ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.62212e+08)","Runtime Improvement""""(2.17447e+08)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1212,62.43,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,2.95,1.84,48.15,71.59,144,"    2, 2747,    1","  128,    1,    1"
1156,62.42,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,2.95,1.84,48.07,71.50,144,"    2, 2747,    1","  128,    1,    1"
1196,36.44,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.91,1.06,61.69,63.56,240,"    1, 2747,    1","  128,    1,    1"
1200,36.46,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.91,1.06,61.71,63.54,240,"    1, 2747,    1","  128,    1,    1"
1232,51.69,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 1024, 5..3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)",2.83,1.46,81.91,68.91,64,"10988,    1,    1","    8,    8,    1"
1214,46.12,elementwise_kernel,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2.60,1.20,53.88,35.67,16,"43950,    1,    1","  128,    1,    1"
933,11.83,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.56,0.30,60.95,88.19,168,"    2,  344,    1","  128,    1,    1"
929,11.82,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.56,0.30,60.93,88.19,168,"    2,  344,    1","  128,    1,    1"
1233,51.68,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 1024, 5..3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)",2.54,1.31,81.93,68.91,64,"10988,    1,    1","    8,    8,    1"
1052,62.21,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel__5x_cudnn,2.35,1.46,45.40,67.37,148,"    1, 2747,    1","  128,    1,    1"
905,45.03,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_32x10_nhwc_unity_stride_align8>(T1::Params),2.23,1.00,48.10,86.54,96," 1376,    1,    1","  128,    1,    1"
1248,19.86,gemv2N_kernel,"void gemv2N_kernel<int..__half, __half, __half, float, 128, 1, 2..0, cublasGemvParamsEx..cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched..__half>, cublasGemvTensorStridedBatched<__half..T13)",2.20,0.44,38.80,80.14,45," 2747,    1,    1","  128,    1,    1"
1044,62.26,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,2.16,1.34,49.01,64.08,144,"    1, 2747,    1","  128,    1,    1"
979,38.06,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_128x64_32x6_nhwc_unity_stride_align8>(T1::Params),2.15,0.82,42.15,80.56,164," 1376,    1,    1","  128,    1,    1"
937,50.99,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_64x5_nhwc_unity_stride_align8>(T1::Params),2.12,1.08,51.43,84.65,120," 1376,    1,    1","  128,    1,    1"
1064,41.67,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,2.12,0.89,56.33,83.35,104,"    1, 2747,    1","  128,    1,    1"
1060,41.68,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,2.12,0.88,56.35,83.37,104,"    1, 2747,    1","  128,    1,    1"
897,15.18,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.10,0.32,74.73,84.82,164,"    1,  688,    1","  128,    1,    1"
901,15.13,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2.10,0.32,74.78,84.87,164,"    1,  688,    1","  128,    1,    1"
1215,12.07,vectorized_elementwise_kernel,"void at::vectorized_elementwise_kernel<4..unnamed>::leaky_relu_kernel..TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator..instance 3)]::operator..lambda..Half) (instance..detail::Array<char *, 2>>(int..",2.09,0.25,21.14,87.93,16,"43950,    1,    1","  128,    1,    1"
1231,0.69,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_small_nn_v1,2.05,0.01,67.43,44.69,128," 2747,    1,    1","   64,    1,    1"
1229,0.70,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_small_nn_v1,2.05,0.01,67.49,44.73,128," 2747,    1,    1","   64,    1,    1"
1180,26.55,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_128x64_32x6_nhwc_align8>(T1::Params),2.03,0.54,49.69,76.50,162," 2747,    1,    1","  128,    1,    1"
1184,26.31,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_128x64_32x6_nhwc_align8>(T1::Params),2.03,0.53,49.60,76.37,162," 2747,    1,    1","  128,    1,    1"
1007,28.17,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_32x10_nhwc_unity_stride_align8>(T1::Params),2.02,0.57,47.13,71.83,96," 2750,    1,    1","  128,    1,    1"
909,44.92,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_32x10_nhwc_unity_stride_align8>(T1::Params),2.01,0.90,47.96,86.14,96," 1376,    1,    1","  128,    1,    1"
968,19.88,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",2.01,0.40,66.83,35.44,22,"10988,    1,    1","   32,    8,    1"
948,19.88,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",2.01,0.40,67.53,35.38,22,"10988,    1,    1","   32,    8,    1"
1036,19.62,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",2.01,0.39,66.80,35.47,22,"10988,    1,    1","   32,    8,    1"
980,19.91,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",2.00,0.40,67.47,35.41,22,"10988,    1,    1","   32,    8,    1"
964,20.14,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",2.00,0.40,67.68,35.50,22,"10988,    1,    1","   32,    8,    1"
1003,29.11,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_32x10_nhwc_unity_stride_align8>(T1::Params),2.00,0.58,46.48,70.89,96," 2750,    1,    1","  128,    1,    1"
1116,62.33,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,1.94,1.21,58.53,78.32,94,"    2, 2747,    1","  128,    1,    1"
1120,62.40,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,1.93,1.21,58.57,78.28,94,"    2, 2747,    1","  128,    1,    1"
1227,0.00,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_interior_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_interior_nn_v1,1.93,0.00,69.86,47.40,128," 2747,    1,    1","   64,    1,    1"
1225,0.00,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_interior_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_interior_nn_v1,1.92,0.00,69.97,47.48,128," 2747,    1,    1","   64,    1,    1"
1132,17.19,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel__5x_cudnn,1.89,0.32,42.96,82.81,160,"    1, 2747,    1","  128,    1,    1"
1136,16.99,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel__5x_cudnn,1.88,0.32,45.28,83.01,160,"    1, 2747,    1","  128,    1,    1"
1192,16.64,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.87,0.31,52.36,83.36,168,"    1, 2747,    1","  128,    1,    1"
1152,16.63,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.87,0.31,43.69,83.37,162,"    1, 2747,    1","  128,    1,    1"
999,25.19,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x128_32x6_nhwc_unity_stride_align8>(T1::Params),1.87,0.47,49.18,79.01,154," 1375,    1,    1","  128,    1,    1"
1148,16.56,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.87,0.31,42.72,83.44,162,"    1, 2747,    1","  128,    1,    1"
995,24.62,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x128_32x6_nhwc_unity_stride_align8>(T1::Params),1.87,0.46,49.08,79.07,154," 1375,    1,    1","  128,    1,    1"
1188,16.43,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.87,0.31,52.24,83.57,168,"    1, 2747,    1","  128,    1,    1"
956,19.92,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",1.86,0.37,66.51,37.93,22,"10988,    1,    1","   32,    8,    1"
889,50.58,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_64x5_nhwc_unity_stride_align8>(T1::Params),1.85,0.94,51.49,84.82,120," 1376,    1,    1","  128,    1,    1"
1244,46.57,nchwToNhwcKernel,"void engines_precompiled::nchwToNhwcKernel<__half, __half, float, 0, 1, 0>(engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",1.85,0.86,46.84,53.43,38,"10988,    2,    1","  256,    1,    1"
1246,40.87,nchwToNhwcKernel,"void engines_precompiled::nchwToNhwcKernel<__half, __half, float, 0, 1, 0>(engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",1.85,0.75,46.73,53.42,38,"10988,    2,    1","  256,    1,    1"
1011,23.09,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.80,0.42,53.61,90.64,120,"    4,  688,    1","  128,    1,    1"
681,80.10,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_128x64_32x6_nhwc_unity_stride_align8>(T1::Params),1.80,1.44,64.67,90.44,164,"   44,    4,    1","  128,    1,    1"
1015,23.03,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.80,0.42,53.53,90.87,120,"    4,  688,    1","  128,    1,    1"
967,45.56,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_256x64_32x4_nhwc_unity_stride_align8>(T1::Params),1.78,0.81,51.13,80.41,248,"  688,    1,    1","  128,    1,    1"
877,12.32,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.78,0.22,87.68,74.86,254,"    1,  344,    1","  128,    1,    1"
873,12.32,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.78,0.22,87.68,74.88,254,"    1,  344,    1","  128,    1,    1"
1219,25.94,gemv2N_kernel,"void gemv2N_kernel<int..__half, __half, __half, float, 128, 1, 2..0, cublasGemvParamsEx..cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched..__half>, cublasGemvTensorStridedBatched<__half..T13)",1.78,0.46,36.14,74.06,45," 2747,    1,    1","  128,    1,    1"
1218,25.92,gemv2N_kernel,"void gemv2N_kernel<int..__half, __half, __half, float, 128, 1, 2..0, cublasGemvParamsEx..cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched..__half>, cublasGemvTensorStridedBatched<__half..T13)",1.78,0.46,36.12,74.08,45," 2747,    1,    1","  128,    1,    1"
1220,25.78,gemv2N_kernel,"void gemv2N_kernel<int..__half, __half, __half, float, 128, 1, 2..0, cublasGemvParamsEx..cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched..__half>, cublasGemvTensorStridedBatched<__half..T13)",1.78,0.46,36.17,74.22,45," 2747,    1,    1","  128,    1,    1"
963,46.55,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_256x64_32x4_nhwc_unity_stride_align8>(T1::Params),1.78,0.83,51.09,80.37,248,"  688,    1,    1","  128,    1,    1"
21,65.12,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 1024, 5..3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)",1.77,1.16,78.17,77.35,64," 2750,    2,    1","    8,    8,    1"
20,65.16,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 1024, 5..3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)",1.77,1.16,78.32,77.52,64," 2750,    2,    1","    8,    8,    1"
976,19.95,foldedNhwcToNchwKernel,"void foldedNhwcToNchwKernel<__half, __half, float, 1, 0>(int..int..int, int, int, const T1 *, T2 *, int, int, int, int, int..int, int, int, int, T3, T3, cudnn::reduced_divisor, cudnn::reduced_divisor, cudnn::reduced_divisor..",1.74,0.35,67.67,40.46,22,"10988,    1,    1","   32,    8,    1"
1176,21.76,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,1.72,0.37,53.15,78.24,254,"    1, 1374,    1","  128,    1,    1"
893,52.05,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x64_64x5_nhwc_unity_stride_align8>(T1::Params),1.72,0.89,51.60,84.93,120," 1376,    1,    1","  128,    1,    1"
